MSSubClass,MSZoning,LotFrontage,LotArea,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrArea,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SalePrice
20,RL,,12968,Sawyer,5,6,1962,1962,HdBoard,Plywood,0.0,TA,TA,No,ALQ,737,Unf,0,175,912,SBrkr,912,0,0,912,1,0,1,0,2,1,TA,4,Typ,0,Detchd,1962.0,Unf,1,352,TA,TA,140,0,0,0,176,0,0,9,2008,WD,144000
20,RL,91.0,10652,CollgCr,7,5,2006,2007,VinylSd,VinylSd,306.0,Gd,TA,Av,Unf,0,Unf,0,1494,1494,SBrkr,1494,0,0,1494,0,0,2,0,3,1,Gd,7,Typ,1,Attchd,2006.0,RFn,3,840,TA,TA,160,33,0,0,0,0,0,8,2007,New,279500
20,RL,,10920,NAmes,6,5,1960,1960,MetalSd,MetalSd,212.0,TA,TA,No,BLQ,733,Unf,0,520,1253,SBrkr,1253,0,0,1253,1,0,1,1,2,1,TA,5,Typ,1,Attchd,1960.0,RFn,1,352,TA,TA,0,213,176,0,0,0,0,5,2008,WD,157000
45,RM,51.0,6120,BrkSide,7,8,1929,2001,Wd Sdng,Wd Sdng,0.0,TA,TA,No,Unf,0,Unf,0,832,832,FuseA,854,0,0,854,0,0,1,0,2,1,TA,5,Typ,0,Detchd,1991.0,Unf,2,576,TA,TA,48,112,0,0,0,0,0,7,2007,WD,132000
20,RL,,11241,NAmes,6,7,1970,1970,Wd Sdng,Wd Sdng,180.0,TA,TA,No,ALQ,578,Unf,0,426,1004,SBrkr,1004,0,0,1004,1,0,1,0,2,1,TA,5,Typ,1,Attchd,1970.0,Fin,2,480,TA,TA,0,0,0,0,0,0,700,3,2010,WD,149000
90,RL,72.0,10791,Sawyer,4,5,1967,1967,MetalSd,MetalSd,0.0,,,,,0,,0,0,0,SBrkr,1296,0,0,1296,0,0,2,0,2,2,TA,6,Typ,0,CarPort,1967.0,Unf,2,516,TA,TA,0,0,0,0,0,0,500,10,2006,WD,90000
20,RL,66.0,13695,SawyerW,5,5,2004,2004,VinylSd,VinylSd,0.0,TA,TA,No,GLQ,646,Unf,0,468,1114,SBrkr,1114,0,0,1114,1,0,1,1,3,1,Gd,6,Typ,0,Detchd,2004.0,Unf,2,576,TA,TA,0,102,0,0,0,0,0,6,2008,WD,159000
20,RL,70.0,7560,NAmes,5,6,1958,1965,BrkFace,Plywood,0.0,TA,TA,No,LwQ,504,Unf,0,525,1029,SBrkr,1339,0,0,1339,0,0,1,0,3,1,TA,6,Min1,0,Attchd,1958.0,Unf,1,294,TA,TA,0,0,0,0,0,0,0,5,2009,COD,139000
60,RL,101.0,14215,NridgHt,8,5,2005,2006,VinylSd,VinylSd,380.0,Ex,TA,Av,Unf,0,Unf,0,1158,1158,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,Typ,1,BuiltIn,2005.0,RFn,3,853,TA,TA,240,154,0,0,0,0,0,11,2006,New,325300
45,RM,57.0,7449,IDOTRR,7,7,1930,1950,Wd Sdng,Wd Sdng,0.0,TA,TA,No,Unf,0,Unf,0,637,637,FuseF,1108,0,0,1108,0,0,1,0,3,1,Gd,6,Typ,1,Attchd,1930.0,Unf,1,280,TA,TA,0,0,205,0,0,0,0,6,2007,WD,139400
20,RL,75.0,9742,CollgCr,8,5,2002,2002,VinylSd,VinylSd,281.0,Gd,TA,No,Unf,0,Unf,0,1777,1777,SBrkr,1795,0,0,1795,0,0,2,0,3,1,Gd,7,Typ,1,Attchd,2002.0,RFn,2,534,TA,TA,171,159,0,0,0,0,0,9,2008,WD,230000
120,RM,44.0,4224,MeadowV,5,7,1976,1976,CemntBd,CmentBd,0.0,Gd,TA,No,GLQ,840,Unf,0,200,1040,SBrkr,1060,0,0,1060,1,0,1,0,3,1,TA,6,Typ,1,Attchd,1976.0,Unf,2,572,TA,TA,100,110,0,0,0,0,0,6,2007,WD,129900
20,RL,,8246,Sawyer,5,8,1968,2001,Plywood,Plywood,0.0,TA,TA,Mn,Rec,188,ALQ,668,204,1060,SBrkr,1060,0,0,1060,1,0,1,0,3,1,Gd,6,Typ,1,Attchd,1968.0,Unf,1,270,TA,TA,406,90,0,0,0,0,0,5,2010,WD,154000
20,RL,110.0,14230,NridgHt,8,5,2007,2007,VinylSd,VinylSd,640.0,Gd,TA,No,Unf,0,Unf,0,1566,1566,SBrkr,1600,0,0,1600,0,0,2,0,3,1,Gd,7,Typ,1,Attchd,2007.0,RFn,3,890,TA,TA,0,56,0,0,0,0,0,7,2009,WD,256300
20,RL,60.0,7200,NAmes,5,7,1951,2000,Wd Sdng,Wd Sdng,0.0,TA,TA,Mn,BLQ,234,Rec,486,180,900,SBrkr,900,0,0,900,0,1,1,0,3,1,Gd,5,Typ,0,Detchd,2005.0,Unf,2,576,TA,TA,222,32,0,0,0,0,0,5,2010,WD,134800
20,RL,98.0,11478,NridgHt,8,5,2007,2008,VinylSd,VinylSd,200.0,Ex,TA,No,GLQ,1218,Unf,0,486,1704,SBrkr,1704,0,0,1704,1,0,2,0,3,1,Gd,7,Typ,1,Attchd,2008.0,RFn,3,772,TA,TA,0,50,0,0,0,0,0,5,2010,WD,306000
20,RL,47.0,16321,NAmes,5,6,1957,1997,MetalSd,MetalSd,0.0,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,SBrkr,1600,0,0,1600,1,0,1,0,2,1,TA,6,Typ,2,Attchd,1957.0,RFn,1,319,TA,TA,288,258,0,0,0,0,0,12,2006,WD,207500
30,RM,60.0,6324,BrkSide,4,6,1927,1950,MetalSd,MetalSd,0.0,TA,TA,No,Unf,0,Unf,0,520,520,SBrkr,520,0,0,520,0,0,1,0,1,1,Fa,4,Typ,0,Detchd,1920.0,Unf,1,240,Fa,TA,49,0,87,0,0,0,0,5,2008,WD,68500
70,C (all),50.0,8500,IDOTRR,4,4,1920,1950,BrkFace,BrkFace,0.0,TA,TA,No,Unf,0,Unf,0,649,649,SBrkr,649,668,0,1317,0,0,1,0,3,1,TA,6,Typ,0,Detchd,1920.0,Unf,1,250,TA,Fa,0,54,172,0,0,0,0,7,2008,WD,40000
20,RL,,8544,Sawyer,5,6,1966,2006,HdBoard,HdBoard,0.0,TA,TA,No,Unf,0,Unf,0,1228,1228,SBrkr,1228,0,0,1228,0,0,1,1,3,1,Gd,6,Typ,0,Attchd,1966.0,Unf,1,271,TA,TA,0,65,0,0,0,0,0,6,2008,WD,149350
20,RL,85.0,11049,CollgCr,8,5,2007,2007,VinylSd,VinylSd,0.0,Ex,TA,Av,Unf,0,Unf,0,1234,1234,SBrkr,1234,0,0,1234,0,0,2,0,3,1,Gd,7,Typ,0,Attchd,2007.0,RFn,2,484,TA,TA,0,30,0,0,0,0,0,1,2008,WD,179900
20,RL,70.0,10552,NAmes,5,5,1959,1959,BrkFace,BrkFace,0.0,TA,TA,No,Rec,1018,Unf,0,380,1398,SBrkr,1700,0,0,1700,0,1,1,1,4,1,Gd,6,Typ,1,Attchd,1959.0,RFn,2,447,TA,TA,0,38,0,0,0,0,0,4,2010,WD,165500
120,RL,60.0,7313,NridgHt,9,5,2005,2005,MetalSd,MetalSd,246.0,Ex,TA,No,GLQ,1153,Unf,0,408,1561,SBrkr,1561,0,0,1561,1,0,2,0,2,1,Ex,6,Typ,1,Attchd,2005.0,Fin,2,556,TA,TA,203,47,0,0,0,0,0,8,2007,WD,277500
60,RL,108.0,13418,NridgHt,8,5,2004,2005,VinylSd,VinylSd,132.0,Ex,TA,Av,Unf,0,Unf,0,1117,1117,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,Gd,9,Typ,1,BuiltIn,2004.0,Fin,3,691,TA,TA,113,32,0,0,0,0,0,9,2006,WD,309000
20,RL,112.0,10859,CollgCr,5,5,1994,1995,VinylSd,VinylSd,0.0,Gd,TA,No,Unf,0,Unf,0,1097,1097,SBrkr,1097,0,0,1097,0,0,1,1,3,1,TA,6,Typ,0,Attchd,1995.0,Unf,2,672,TA,TA,392,64,0,0,0,0,0,6,2009,WD,145000
20,RL,74.0,8532,NAmes,5,6,1954,1990,Wd Sdng,Wd Sdng,650.0,TA,TA,No,Rec,1213,Unf,0,84,1297,SBrkr,1297,0,0,1297,0,1,1,0,3,1,TA,5,Typ,1,Attchd,1954.0,Fin,2,498,TA,TA,0,0,0,0,0,0,0,10,2009,WD,153000
20,RL,68.0,7922,NAmes,5,7,1953,2007,VinylSd,VinylSd,0.0,TA,TA,No,GLQ,731,Unf,0,326,1057,SBrkr,1057,0,0,1057,1,0,1,0,3,1,Gd,5,Typ,0,Detchd,1953.0,Unf,1,246,TA,TA,0,52,0,0,0,0,0,1,2010,WD,109000
90,RL,65.0,6040,Edwards,4,5,1955,1955,AsbShng,Plywood,0.0,,,,,0,,0,0,0,FuseP,1152,0,0,1152,0,0,2,0,2,2,Fa,6,Typ,0,,,,0,0,,,0,0,0,0,0,0,0,6,2008,WD,82000
20,RL,84.0,8658,NAmes,6,5,1965,1965,Wd Sdng,Wd Sdng,101.0,TA,TA,No,Rec,643,Unf,0,445,1088,SBrkr,1324,0,0,1324,0,0,2,0,3,1,TA,6,Typ,1,Attchd,1965.0,RFn,2,440,TA,TA,0,138,0,0,0,0,0,12,2006,WD,160000
20,RL,115.0,16905,Timber,5,6,1959,1959,VinylSd,VinylSd,0.0,TA,TA,Gd,BLQ,967,Unf,0,383,1350,SBrkr,1328,0,0,1328,0,1,1,1,2,1,TA,5,Typ,2,Attchd,1959.0,RFn,1,308,TA,TA,0,104,0,0,0,0,0,7,2007,WD,170000
85,RL,,9180,SawyerW,5,7,1983,1983,HdBoard,HdBoard,0.0,Gd,TA,Av,ALQ,747,LwQ,93,0,840,SBrkr,884,0,0,884,1,0,1,0,2,1,Gd,5,Typ,0,Attchd,1983.0,RFn,2,504,TA,Gd,240,0,0,0,0,0,0,12,2007,WD,144000
20,RL,,9200,CollgCr,5,6,1975,1980,VinylSd,VinylSd,0.0,Gd,TA,Av,LwQ,280,BLQ,491,167,938,SBrkr,938,0,0,938,1,0,1,0,3,1,TA,5,Typ,0,Detchd,1977.0,Unf,1,308,TA,TA,145,0,0,0,0,0,0,7,2008,WD,130250
20,RL,70.0,7945,NAmes,5,6,1959,1959,BrkFace,Wd Sdng,0.0,TA,TA,No,ALQ,179,BLQ,506,465,1150,FuseA,1150,0,0,1150,1,0,1,0,3,1,TA,6,Typ,0,Attchd,1959.0,RFn,1,300,TA,TA,0,0,0,0,0,0,0,5,2006,WD,141000
120,RL,61.0,7658,NridgHt,9,5,2005,2005,MetalSd,MetalSd,412.0,Ex,TA,No,GLQ,456,Unf,0,1296,1752,SBrkr,1752,0,0,1752,1,0,2,0,2,1,Ex,6,Typ,1,Attchd,2005.0,RFn,2,576,TA,TA,196,82,0,0,0,0,0,2,2010,WD,319900
50,RL,48.0,12822,Mitchel,7,5,2003,2003,VinylSd,VinylSd,0.0,Ex,TA,No,GLQ,1351,Unf,0,83,1434,SBrkr,1518,631,0,2149,1,0,1,1,1,1,Gd,6,Typ,1,Attchd,2003.0,RFn,2,670,TA,TA,168,43,0,0,198,0,0,8,2009,WD,239686
20,FV,84.0,11096,Somerst,8,5,2006,2006,VinylSd,VinylSd,0.0,Gd,TA,Av,GLQ,24,Unf,0,1632,1656,SBrkr,1656,0,0,1656,0,0,2,0,3,1,Gd,7,Typ,0,Attchd,2006.0,RFn,3,826,TA,TA,0,146,0,0,0,0,0,7,2007,WD,249700
190,RM,33.0,4456,OldTown,4,5,1920,2008,MetalSd,MetalSd,0.0,TA,TA,No,Unf,0,Unf,0,736,736,SBrkr,736,716,0,1452,0,0,2,0,2,3,TA,8,Typ,0,,,,0,0,,,0,0,102,0,0,0,0,6,2009,New,113000
20,RL,66.0,7742,Sawyer,5,7,1966,1966,HdBoard,HdBoard,0.0,TA,TA,No,BLQ,763,Unf,0,192,955,SBrkr,955,0,0,955,1,0,1,0,3,1,TA,6,Typ,0,Attchd,1966.0,Unf,1,386,TA,TA,0,0,0,0,0,0,0,1,2007,WD,127000
60,RL,,13869,Gilbert,6,6,1997,1997,VinylSd,VinylSd,0.0,Gd,TA,Av,GLQ,182,Unf,0,612,794,SBrkr,794,676,0,1470,0,1,2,0,3,1,TA,6,Typ,0,Attchd,1997.0,Fin,2,388,TA,TA,0,75,0,0,0,0,0,7,2007,WD,177000
50,RM,52.0,6240,BrkSide,6,6,1934,1950,Wd Sdng,Wd Sdng,0.0,TA,TA,No,Unf,0,Unf,0,816,816,SBrkr,816,0,360,1176,0,0,1,0,3,1,TA,6,Typ,1,Detchd,1985.0,Unf,2,528,TA,TA,112,0,0,0,0,0,400,9,2006,WD,114500
90,RM,110.0,8472,IDOTRR,5,5,1963,1963,Wd Sdng,Wd Sdng,0.0,Gd,TA,Gd,LwQ,104,GLQ,712,0,816,SBrkr,816,0,0,816,1,0,1,0,2,1,TA,5,Typ,0,CarPort,1963.0,Unf,2,516,TA,TA,106,0,0,0,0,0,0,5,2010,WD,110000
20,RL,68.0,50271,Veenker,9,5,1981,1987,WdShing,Wd Shng,0.0,Ex,TA,Gd,GLQ,1810,Unf,0,32,1842,SBrkr,1842,0,0,1842,2,0,0,1,0,1,Gd,5,Typ,1,Attchd,1981.0,Fin,3,894,TA,TA,857,72,0,0,0,0,0,11,2006,WD,385000
80,RL,60.0,7134,NAmes,5,5,1955,1955,MetalSd,MetalSd,0.0,TA,TA,No,ALQ,384,Unf,0,0,384,SBrkr,1360,0,0,1360,0,0,1,0,3,1,TA,6,Min1,1,Detchd,1962.0,Unf,2,572,TA,TA,0,50,0,0,0,0,0,2,2007,WD,130000
20,RL,100.0,10175,NAmes,6,5,1964,1964,HdBoard,Plywood,272.0,TA,TA,No,BLQ,490,Unf,0,935,1425,SBrkr,1425,0,0,1425,0,0,2,0,3,1,TA,7,Typ,1,Attchd,1964.0,RFn,2,576,TA,TA,0,0,0,407,0,0,0,7,2008,WD,180500
160,FV,24.0,2645,Somerst,8,5,1999,2000,MetalSd,MetalSd,456.0,Gd,TA,No,GLQ,649,Unf,0,321,970,SBrkr,983,756,0,1739,1,0,2,1,3,1,Gd,7,Typ,0,Attchd,1999.0,Fin,2,480,TA,TA,115,0,0,0,0,0,0,8,2009,WD,172500
60,RL,89.0,11645,CollgCr,7,5,2004,2004,VinylSd,VinylSd,0.0,Gd,TA,No,Unf,0,Unf,0,860,860,SBrkr,860,860,0,1720,0,0,2,1,3,1,Gd,7,Typ,0,Attchd,2004.0,RFn,2,565,TA,TA,0,70,0,0,0,0,0,8,2006,WD,196500
60,RL,66.0,13682,StoneBr,10,5,2006,2006,VinylSd,VinylSd,1031.0,Ex,TA,Gd,Unf,0,Unf,0,1410,1410,SBrkr,1426,1519,0,2945,0,0,3,1,3,1,Gd,10,Typ,1,BuiltIn,2006.0,Fin,3,641,TA,TA,192,0,37,0,0,0,0,10,2006,New,438780
20,RL,60.0,7200,CollgCr,5,7,1972,1972,HdBoard,HdBoard,0.0,TA,TA,Av,ALQ,632,Unf,0,148,780,SBrkr,780,0,0,780,0,0,1,0,2,1,TA,4,Typ,0,Detchd,1973.0,Unf,1,352,TA,TA,196,0,0,0,0,0,0,1,2008,WD,124900
20,RL,63.0,13072,SawyerW,6,5,2004,2004,VinylSd,VinylSd,0.0,Gd,TA,No,ALQ,941,Unf,0,217,1158,SBrkr,1158,0,0,1158,1,0,1,1,3,1,Gd,5,Typ,0,Detchd,2006.0,Unf,2,576,TA,TA,0,50,0,0,0,0,0,5,2006,New,158000
75,RM,60.0,7200,IDOTRR,5,7,1920,1996,MetalSd,MetalSd,0.0,TA,Fa,No,Unf,0,Unf,0,530,530,SBrkr,581,530,0,1111,0,0,1,0,3,1,Fa,6,Typ,0,Detchd,1935.0,Unf,1,288,TA,TA,0,0,144,0,0,0,0,3,2007,WD,101000
120,RL,44.0,6442,NridgHt,8,5,2006,2006,VinylSd,VinylSd,178.0,Gd,Gd,Mn,GLQ,24,Unf,0,1346,1370,SBrkr,1370,0,0,1370,0,0,2,0,2,1,Gd,6,Typ,1,Attchd,2006.0,RFn,2,484,TA,TA,120,49,0,0,0,0,0,10,2007,WD,202500
70,RM,50.0,10300,OldTown,7,6,1921,1950,Stucco,Stucco,0.0,TA,TA,No,Unf,0,Unf,0,576,576,SBrkr,902,808,0,1710,0,0,2,0,3,1,TA,9,Typ,0,Detchd,1990.0,Unf,2,480,TA,TA,12,11,64,0,0,0,0,4,2010,WD,140000
60,RL,,9375,CollgCr,7,5,1997,1998,VinylSd,VinylSd,573.0,Gd,TA,No,GLQ,739,Unf,0,318,1057,SBrkr,1057,977,0,2034,1,0,2,1,3,1,Gd,8,Typ,0,Attchd,1998.0,RFn,2,645,TA,TA,576,36,0,0,0,0,0,2,2009,WD,219500
60,RL,76.0,9591,NridgHt,8,5,2004,2005,VinylSd,VinylSd,344.0,Ex,TA,Av,Unf,0,Unf,0,1143,1143,SBrkr,1143,1330,0,2473,0,0,2,1,4,1,Gd,9,Typ,1,BuiltIn,2004.0,RFn,3,852,TA,TA,192,151,0,0,0,0,0,10,2007,WD,317000
20,RL,,19900,NAmes,7,5,1970,1989,Plywood,Plywood,287.0,Gd,TA,Gd,GLQ,912,Unf,0,1035,1947,SBrkr,2207,0,0,2207,1,0,2,0,3,1,TA,7,Min1,1,Attchd,1970.0,RFn,2,576,TA,TA,301,0,0,0,0,0,0,7,2010,WD,180000
20,RL,72.0,10665,CollgCr,7,5,2003,2003,VinylSd,VinylSd,167.0,Gd,TA,Av,GLQ,1013,Unf,0,440,1453,SBrkr,1479,0,0,1479,1,0,2,0,3,1,Gd,7,Typ,0,Attchd,2003.0,RFn,2,558,TA,TA,144,29,0,0,0,0,0,6,2007,WD,226000
30,RM,47.0,4608,OldTown,4,6,1945,1950,MetalSd,MetalSd,0.0,TA,TA,No,Unf,0,Unf,0,747,747,SBrkr,747,0,0,747,0,0,1,0,2,1,TA,4,Typ,0,Attchd,1945.0,Unf,1,220,TA,TA,0,0,0,0,0,0,0,6,2010,WD,80000
50,RL,81.0,15593,ClearCr,7,4,1953,1953,BrkFace,AsbShng,0.0,TA,TA,No,BLQ,603,Unf,0,701,1304,SBrkr,1304,983,0,2287,0,0,2,0,3,1,TA,7,Typ,1,Attchd,1953.0,Fin,2,667,TA,TA,0,21,114,0,0,0,0,7,2006,WD,225000
20,RL,95.0,13651,NAmes,7,6,1973,1973,Plywood,Plywood,1115.0,Gd,TA,Gd,ALQ,1880,Unf,0,343,2223,SBrkr,2223,0,0,2223,1,0,2,0,3,1,TA,8,Typ,2,Attchd,1973.0,Fin,2,516,TA,TA,300,0,0,0,0,0,0,2,2007,WD,244000
20,RL,69.0,7599,Mitchel,4,6,1982,2006,HdBoard,Plywood,0.0,TA,TA,No,ALQ,565,Unf,0,280,845,SBrkr,845,0,0,845,1,0,1,0,2,1,TA,4,Typ,0,Detchd,1987.0,Unf,2,360,TA,TA,0,0,0,0,0,0,0,6,2007,WD,129500
60,RL,74.0,10141,Gilbert,7,5,1998,1998,VinylSd,VinylSd,40.0,Gd,TA,No,Unf,0,Unf,0,832,832,SBrkr,885,833,0,1718,0,0,2,1,3,1,TA,7,Typ,1,Attchd,1998.0,Fin,2,427,TA,TA,0,94,0,0,291,0,0,12,2009,WD,185000
20,RL,85.0,10200,NAmes,5,7,1954,2003,Wd Sdng,Wd Sdng,104.0,TA,TA,No,ALQ,320,BLQ,362,404,1086,SBrkr,1086,0,0,1086,1,0,1,0,3,1,TA,6,Typ,0,Attchd,1989.0,Unf,2,490,TA,TA,0,0,0,0,0,0,0,5,2010,WD,144900
50,RM,60.0,5790,OldTown,3,6,1915,1950,VinylSd,VinylSd,0.0,Fa,TA,No,Unf,0,Unf,0,840,840,SBrkr,840,765,0,1605,0,0,2,0,3,2,TA,8,Typ,0,Detchd,1915.0,Unf,1,379,TA,TA,0,0,202,0,0,0,0,5,2010,WD,107400
180,RM,21.0,1596,MeadowV,4,5,1973,1973,CemntBd,CmentBd,0.0,Gd,TA,Gd,GLQ,462,Unf,0,0,462,SBrkr,526,462,0,988,1,0,1,0,2,1,TA,5,Typ,0,BuiltIn,1973.0,Unf,1,297,TA,TA,120,101,0,0,0,0,0,11,2009,WD,91000
20,RL,,8475,NAmes,4,7,1956,1956,VinylSd,VinylSd,0.0,TA,TA,No,ALQ,228,Unf,0,724,952,FuseA,952,0,0,952,0,0,1,0,2,1,TA,4,Typ,0,Detchd,1956.0,Unf,1,283,TA,TA,0,0,0,0,0,0,0,4,2008,WD,135750
50,RM,50.0,8635,BrkSide,5,5,1948,2001,Wd Sdng,Wd Sdng,0.0,TA,TA,No,BLQ,336,GLQ,41,295,672,SBrkr,1072,213,0,1285,1,0,1,0,2,1,TA,6,Min1,0,Detchd,1948.0,Unf,1,240,TA,TA,0,0,0,0,0,0,0,1,2008,WD,127000
90,RL,72.0,10778,Sawyer,4,5,1968,1968,HdBoard,HdBoard,0.0,TA,TA,No,Unf,0,Unf,0,1768,1768,SBrkr,1768,0,0,1768,0,0,2,0,4,2,TA,8,Typ,0,,,,0,0,,,0,0,0,0,0,0,0,4,2010,WD,136500
50,RM,60.0,10440,OldTown,5,6,1910,1981,Wd Sdng,Wd Sdng,0.0,TA,TA,No,Unf,0,Unf,0,440,440,SBrkr,682,548,0,1230,0,0,1,1,2,1,TA,5,Typ,0,Detchd,1966.0,Unf,2,440,TA,TA,74,0,128,0,0,0,0,5,2009,WD,110000
60,RL,100.0,13000,NAmes,6,6,1968,1968,VinylSd,VinylSd,576.0,Gd,TA,No,Rec,448,Unf,0,448,896,SBrkr,1182,960,0,2142,0,0,2,1,4,1,Gd,8,Typ,1,Attchd,1968.0,Fin,1,509,TA,TA,0,72,0,0,252,0,0,6,2009,WD,193500
120,RM,32.0,4500,Mitchel,6,5,1998,1998,VinylSd,VinylSd,443.0,Ex,Gd,No,GLQ,1201,Unf,0,36,1237,SBrkr,1337,0,0,1337,1,0,2,0,2,1,TA,5,Typ,0,Attchd,1998.0,Fin,2,405,TA,TA,0,199,0,0,0,0,0,3,2006,WD,153500
20,RL,78.0,10206,Somerst,8,5,2007,2007,VinylSd,VinylSd,468.0,Gd,TA,No,GLQ,33,Unf,0,1530,1563,SBrkr,1563,0,0,1563,0,0,2,0,3,1,Gd,6,Typ,1,Attchd,2007.0,RFn,3,758,TA,TA,144,99,0,0,0,0,0,10,2008,WD,245000
